"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"4. Proposal visibility","","","0","6","4","0","0"
"6. Miscellaneous","","6A. Should be accessible from mobile","8","7","21","1","0"
"7. Proposal submission","","","4","0","7","0","0"
"Setup","","Register stake","0","0","6","0","0"
"Setup","","Cleanup","0","0","1","0","0"
"1. Wallet connect","","","1","0","4","0","0"
"5. Proposal functionality","","","0","9","2","0","0"
"2. Delegation","","","4","2","12","1","0"
"Setup","","Authentication","0","0","6","0","0"
"Setup","","Fund","0","0","2","0","0"
"","","","2","2","0","0","0"
"3. DRep registration","","","4","3","5","0","0"
"6. Miscellaneous","","","1","1","0","1","0"
"Setup","","Register DRep","0","0","2","0","0"
