"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"2. Delegation","","","2","0","24","0","0"
"6. Miscellaneous","","6A. Should be accessible from mobile","0","1","25","0","0"
"3. DRep registration","","","1","0","19","0","0"
"7. Proposal submission","","","3","6","12","0","0"
"8. Proposal Discussion Forum","","","1","1","15","0","0"
"6. Miscellaneous","","","1","3","12","0","0"
"4. Proposal visibility","","","0","0","14","1","0"
"5. Proposal functionality","","","0","0","11","0","0"
"Setup","","Faucet","0","0","1","0","0"
"Setup","","Authentication","0","0","11","0","0"
"1. Wallet connect","","","0","0","5","0","0"
"Setup","","Register DRep","0","0","2","0","0"
"Setup","","Wallet bootstrap","0","0","1","0","0"
"Setup","","Cleanup","0","0","1","0","0"
"Setup","","proposal","0","0","1","0","0"
