"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"3. DRep registration","","","0","6","3","2","0"
"5. Proposal functionality","","","0","10","1","0","0"
"6. Miscellaneous","","6A. Should be accessible from mobile","3","10","10","6","0"
"2. Delegation","","","0","2","1","4","0"
"Setup","","Authentication","0","0","3","0","0"
"6. Miscellaneous","","","2","0","0","1","0"
"Setup","","Fund","0","0","2","0","0"
"Setup","","DRep","0","0","1","0","0"
"4. Proposal visibility","","","2","7","2","0","0"
"Setup","","Cleanup","0","0","1","0","0"
"1. Wallet connect","","","1","0","4","0","0"
"","","","0","1","0","0","0"
"Setup","","Register stake","0","0","3","0","0"
