"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"6. Miscellaneous","","6A. Should be accessible from mobile","9","2","27","1","0"
"3. DRep registration","","","2","3","6","1","0"
"4. Proposal visibility","","","0","1","9","0","0"
"7. Proposal submission","","","4","0","7","0","0"
"6. Miscellaneous","","","1","0","1","1","0"
"Setup","","Fund","0","0","2","0","0"
"5. Proposal functionality","","","3","0","7","1","0"
"2. Delegation","","","2","1","9","0","0"
"Setup","","Authentication","0","0","4","0","0"
"","","","1","2","1","1","0"
"1. Wallet connect","","","1","0","4","0","0"
"Setup","","Register stake","0","0","3","0","0"
"Setup","","Cleanup","0","0","1","0","0"
