"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"2. Delegation","","","2","1","8","0","0"
"3. DRep registration","","","2","2","6","2","0"
"Setup","","Register stake","0","0","3","0","0"
"6. Miscellaneous","","6A. Should be accessible from mobile","6","1","28","2","0"
"5. Proposal functionality","","","3","0","7","1","0"
"7. Proposal submission","","","4","0","7","0","0"
"Setup","","Authentication","0","0","4","0","0"
"1. Wallet connect","","","1","0","4","0","0"
"4. Proposal visibility","","","3","1","7","0","0"
"6. Miscellaneous","","","1","0","1","1","0"
"Setup","","DRep","0","0","1","0","0"
"Setup","","Fund","0","0","2","0","0"
"Setup","","Cleanup","0","0","1","0","0"
"","","","0","0","0","1","0"
